features,importance,model,used_in_automl
customer_order_inquiry_cs_last_12_24_resolution_type_cd_cim_order_no_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_affinity_cd_coins_xsell_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_12_24_order_pay_catg_cd_k_orig_order_value_amt_min,0.0,LGBMRegressor(),
efforts_xsell_eff_full_days_since_xsell_effort_min,8.0,LGBMRegressor(),
orders_ords_last_0_6_comm_channel_type_cd_i_orig_order_value_amt_mean,0.0,LGBMRegressor(),
efforts_welcome_eff_last_full_third_chr_final_key_cd_8_effort_id_countdist,0.0,LGBMRegressor(),
efforts_welcome_eff_last_full_first_chr_final_key_cd_l_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_24_24_business_src_cd_a_orig_order_value_amt_mean,3.0,LGBMRegressor(),
order_items_item_last_24_24_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_12_24_comm_channel_type_cd_i_orig_order_value_amt_sd,0.0,LGBMRegressor(),
efforts_customer_eff_last_24_24_effort_type_cd_xb_effort_id_countdist,10.0,LGBMRegressor(),1.0
trans_trans_last_6_12_trans_type_cd_cancels_trans_amt_max,3.0,LGBMRegressor(),
nonorders_nonords_last_0_6_lob_cd_2_count,0.0,LGBMRegressor(),
composite_orders_ords_6_12_to_12_24_growth,2.0,LGBMRegressor(),
order_items_item_last_24_24_product_type_cd_a_unit_cost_amt_mean,2.0,LGBMRegressor(),
efforts_customer_eff_last_0_6_effort_type_cd_x9_effort_id_countdist,0.0,LGBMRegressor(),
trans_trans_last_12_24_trans_amt_payment_max,9.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_lob_cd_1_order_no_countdist,0.0,LGBMRegressor(),
order_items_item_last_6_12_lob_cd_9_order_no_line_item_no_countdist,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_affinity_cd_default_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_days_between_effort_order_mean,6.0,LGBMRegressor(),1.0
order_items_item_last_0_6_unit_cost_amt_mean,4.0,LGBMRegressor(),
trans_trans_last_24_24_lob_cd_1_order_no_countdist,0.0,LGBMRegressor(),
customer_order_inquiry_cs_last_0_6_comm_channel_type_cd_b_order_no_line_item_no_countdist,0.0,LGBMRegressor(),
trans_trans_last_24_24_trans_type_cd_returns_trans_amt_mean,1.0,LGBMRegressor(),
orders_ords_last_24_24_business_src_cd_a_orig_order_value_amt_min,8.0,LGBMRegressor(),
efforts_welcome_eff_last_full_third_chr_final_key_cd_1_effort_id_countdist,0.0,LGBMRegressor(),
order_items_item_last_6_12_with_offer_cd_true_unit_cost_amt_max,7.0,LGBMRegressor(),
online_inbound_email_in_days_since_inbound_mail_max,7.0,LGBMRegressor(),1.0
order_items_item_last_12_24_product_type_cd_a_unit_cost_amt_mean,6.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_lob_cd_i_order_no_countdist,8.0,LGBMRegressor(),
composite_order_items_item_avg_items_per_order_last_24_24,2.0,LGBMRegressor(),
orders_ords_last_24_24_business_src_cd_b_orig_order_value_amt_mean,0.0,LGBMRegressor(),
efforts_customer_eff_last_12_24_effort_type_cd_bd_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_0_6_orig_order_value_amt_mean,2.0,LGBMRegressor(),
trans_trans_last_0_6_lob_cd_2_trans_amt_payment_max,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_solicitation_type_cd_r_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_24_24_order_pay_catg_cd_a_orig_order_value_amt_sd,0.0,LGBMRegressor(),
efforts_xsell_eff_last_24_24_xsell_category_cd_ukn_xsell_effort_id_countdist,0.0,LGBMRegressor(),
trans_trans_last_6_12_trans_amt_payment_min,9.0,LGBMRegressor(),
efforts_customer_eff_last_24_24_effort_type_cd_ma_effort_id_countdist,0.0,LGBMRegressor(),
trans_trans_trans_type_cd_cancels_days_since_trans_max,3.0,LGBMRegressor(),
efforts_xsell_eff_last_0_6_solicited_class_cd_h_order_no_countdist,0.0,LGBMRegressor(),
orders_ords_last_24_24_order_pay_catg_cd_a_orig_order_value_amt_min,2.0,LGBMRegressor(),1.0
efforts_xsell_eff_last_12_24_lob_cd_3_xsell_effort_id_countdist,0.0,LGBMRegressor(),
order_items_item_last_0_6_order_no_countdist,1.0,LGBMRegressor(),
order_items_item_last_12_24_unit_cost_amt_sd,5.0,LGBMRegressor(),
order_items_item_last_12_24_product_type_cd_b_unit_cost_amt_min,4.0,LGBMRegressor(),1.0
online_regevent_days_since_registation_min,20.0,LGBMRegressor(),1.0
orders_ords_last_12_24_business_src_cd_b_orig_order_value_amt_sd,0.0,LGBMRegressor(),
orders_ords_last_12_24_comm_channel_type_cd_m_orig_order_value_amt_max,3.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_affinity_cd_cooking_xsell_effort_id_countdist,0.0,LGBMRegressor(),
customer_order_inquiry_cs_last_24_24_resolution_type_cd_tsn_order_no_line_item_no_countdist,0.0,LGBMRegressor(),
nonorders_nonords_lob_cd_2_days_since_nonords_entry_max,12.0,LGBMRegressor(),
efforts_xsell_eff_last_12_24_affinity_cd_book_xsell_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_24_24_order_pay_catg_cd_k_order_no_countdist,0.0,LGBMRegressor(),
online_outbound_email_out_days_since_outbound_mail_min,23.0,LGBMRegressor(),1.0
efforts_welcome_eff_last_full_second_chr_final_key_cd_z_effort_id_countdist,0.0,LGBMRegressor(),
orders_ords_last_12_24_lob_cd_2_orig_order_value_amt_sum,3.0,LGBMRegressor(),
